model	variant	ctx	greenboost	suite	status	prompt_tps	response_tps	ppl	peak_vram_mib	delta_vram_mib	corpus	repeat_count	confidence_grade	run_dir
Qwen 27B	baseline	512	on	core_matrix_v1_ctx512	ok			3.5447	11432	10446	mixed_summary_report.txt	1	B	runs/20260410T154246Z_qwen27b-ppl-vram-ported-on
Qwen 27B	tq1_k	512	on	core_matrix_v1_ctx512	ok			3.5412	11450	10454	mixed_summary_report.txt	1	B	runs/20260410T154246Z_qwen27b-ppl-vram-ported-on
Qwen 27B	tq3_k	512	on	core_matrix_v1_ctx512	ok			3.5513	11448	10462	mixed_summary_report.txt	1	B	runs/20260410T154246Z_qwen27b-ppl-vram-ported-on
Qwen 27B	sq3_k	512	on	core_matrix_v1_ctx512	ok			3.5513	11448	10462	mixed_summary_report.txt	1	B	runs/20260410T154246Z_qwen27b-ppl-vram-ported-on
Qwen 27B	planar3_k	512	on	core_matrix_v1_ctx512	ok			3.5461	11444	10458	mixed_summary_report.txt	1	B	runs/20260410T154246Z_qwen27b-ppl-vram-ported-on
Qwen 27B	iso3_k	512	on	core_matrix_v1_ctx512	ok			3.5461	11444	10458	mixed_summary_report.txt	1	B	runs/20260410T154246Z_qwen27b-ppl-vram-ported-on
Qwen 122B	baseline	512	on	core_matrix_v1_ctx512	ok			3.7456	10580	9594	mixed_summary_report.txt	1	B	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	tq1_k	512	on	core_matrix_v1_ctx512	ok			3.7452	10582	9575	mixed_summary_report.txt	1	B	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	tq3_k	512	on	core_matrix_v1_ctx512	ok			3.7466	10580	9594	mixed_summary_report.txt	1	B	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	sq3_k	512	on	core_matrix_v1_ctx512	ok			3.7466	10580	9573	mixed_summary_report.txt	1	B	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	planar3_k	512	on	core_matrix_v1_ctx512	missing						mixed_summary_report.txt	1	F	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	iso3_k	512	on	core_matrix_v1_ctx512	ok			3.7543	10568	9582	mixed_summary_report.txt	1	B	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Gemma 4 31B	baseline	512	on	core_matrix_v1_ctx512	ok			119.9030	7820	6834	mixed_summary_report.txt	1	B	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
Gemma 4 31B	tq1_k	512	on	core_matrix_v1_ctx512	ok			121.6342	7854	6868	mixed_summary_report.txt	1	B	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
Gemma 4 31B	tq3_k	512	on	core_matrix_v1_ctx512	ok			124.4262	7854	6868	mixed_summary_report.txt	1	B	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
Gemma 4 31B	sq3_k	512	on	core_matrix_v1_ctx512	ok			124.4262	7874	6888	mixed_summary_report.txt	1	B	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
Gemma 4 31B	planar3_k	512	on	core_matrix_v1_ctx512	ok			119.9030	7842	6856	mixed_summary_report.txt	1	B	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
Gemma 4 31B	iso3_k	512	on	core_matrix_v1_ctx512	ok			119.9030	7842	6856	mixed_summary_report.txt	1	B	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
Nemotron 120B	baseline	512	on	core_matrix_v1_ctx512	ok			4.0351	9430	8444	mixed_summary_report.txt	1	B	runs/20260410T171135Z_nemotron120b-ppl-vram-ported-on-gapfill
