model	variant	greenboost	quality_ctx	quality_suite	quality_status	ppl	peak_vram_mib	delta_vram_mib	corpus	repeat_count	quality_confidence_grade	matched_throughput_suite	throughput_ctx	prompt_tps	response_tps	throughput_confidence_grade	equivalence_tier	equivalence_basis	equivalence_note	throughput_run_dir	quality_run_dir
Qwen 9B	iso3_k	on	2048	core_matrix_v1_ctx2048	ok	4.2249	6249	5379	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	2822.313429	68.305354	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on	runs/20260410T211033Z_qwen9b-iso3-longctx-2048
Qwen 27B	baseline	on	2048	core_matrix_v1_ctx2048	failed	7.5664	6611	5741	20260410_long_context_corpus_repeat8.txt	8	F	throughput_ported_on_final	pp512/tg128	87.996441	2.281146	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on	runs/20260410T211100Z_qwen27b-baseline-longctx-2048
Qwen 27B	tq1_k	on	2048	core_matrix_v1_ctx2048	ok	4.0179	6625	5755	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	78.992533	2.045765	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on	runs/20260410T211524Z_qwen27b-tq1-longctx-2048
Qwen 27B	tq3_k	on	2048	core_matrix_v1_ctx2048	ok	4.0190	6619	5749	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	81.162651	2.017148	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on	runs/20260410T211949Z_qwen27b-tq3-longctx-2048
Qwen 27B	sq3_k	on	2048	core_matrix_v1_ctx2048	ok	4.0197	6956	6086	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	75.789175	2.009335	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on	runs/20260410T212414Z_qwen27b-sq3-longctx-2048
Qwen 27B	planar3_k	on	2048	core_matrix_v1_ctx2048	ok	4.0129	6759	5889	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	82.680482	2.015776	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on	runs/20260410T212839Z_qwen27b-planar3-longctx-2048
Qwen 27B	iso3_k	on	2048	core_matrix_v1_ctx2048	ok	4.0129	6759	5775	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	80.815580	2.014966	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on	runs/20260410T213327Z_qwen27b-iso3-longctx-2048
Qwen 122B	tq1_k	on	2048	core_matrix_v1_ctx2048	ok	3.4615	8145	7161	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp1/tg1	3.828910	4.166940	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T213814Z_qwen122b-tq1-longctx-2048
Qwen 122B	tq3_k	on	2048	core_matrix_v1_ctx2048	ok	3.4592	8143	7159	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp1/tg1	4.104632	4.153034	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T214900Z_qwen122b-tq3-longctx-2048
Qwen 122B	sq3_k	on	2048	core_matrix_v1_ctx2048	ok	3.4592	8143	7159	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp1/tg1	4.133980	4.252178	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T215945Z_qwen122b-sq3-longctx-2048
